Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-18 13:23:00+05:30,266.4,266.4,266.3,266.35,14424,0,0
2020-12-18 13:24:00+05:30,266.4,266.4,266.25,266.25,18465,0,0
2020-12-18 13:25:00+05:30,266.3,266.4,266.2,266.2,19302,0,0
2020-12-18 13:26:00+05:30,266.3,267.0,266.2,267.0,190098,0,0
2020-12-18 13:27:00+05:30,266.95,267.85,266.95,267.4,382474,0,0
2020-12-18 13:28:00+05:30,267.4,267.45,267.25,267.25,57355,0,0
2020-12-18 13:29:00+05:30,267.25,267.3,267.1,267.2,41858,0,0
2020-12-18 13:30:00+05:30,267.2,267.6,267.2,267.5,137137,0,0
2020-12-18 13:31:00+05:30,267.55,267.55,267.3,267.45,42945,0,0
2020-12-18 13:32:00+05:30,267.45,267.45,267.3,267.3,35540,0,0
2020-12-18 13:33:00+05:30,267.35,267.4,267.2,267.35,42131,0,0
2020-12-18 13:34:00+05:30,267.2,267.45,267.2,267.4,42540,0,0
2020-12-18 13:35:00+05:30,267.4,267.4,267.05,267.15,57649,0,0
2020-12-18 13:36:00+05:30,267.15,267.3,267.0,267.25,55521,0,0
2020-12-18 13:37:00+05:30,267.25,267.3,267.2,267.3,11328,0,0
2020-12-18 13:38:00+05:30,267.3,267.3,267.2,267.2,20171,0,0
2020-12-18 13:39:00+05:30,267.3,267.3,267.1,267.1,17723,0,0
2020-12-18 13:40:00+05:30,267.1,267.15,266.7,266.85,74063,0,0
2020-12-18 13:41:00+05:30,266.8,266.9,266.7,266.75,36516,0,0
2020-12-18 13:42:00+05:30,266.8,267.0,266.8,266.95,21810,0,0
2020-12-18 13:43:00+05:30,266.95,267.0,266.9,267.0,16445,0,0
2020-12-18 13:44:00+05:30,267.0,267.1,266.8,266.9,68258,0,0
2020-12-18 13:45:00+05:30,266.9,266.9,266.8,266.8,12150,0,0
2020-12-18 13:46:00+05:30,266.8,266.9,266.7,266.8,26551,0,0
2020-12-18 13:47:00+05:30,266.75,266.8,266.7,266.75,28770,0,0
2020-12-18 13:48:00+05:30,266.85,267.1,266.75,267.1,45417,0,0
2020-12-18 13:49:00+05:30,267.05,267.1,266.95,267.0,20803,0,0
2020-12-18 13:50:00+05:30,266.95,267.1,266.95,266.95,20348,0,0
2020-12-18 13:51:00+05:30,266.9,267.05,266.85,267.0,18768,0,0
2020-12-18 13:52:00+05:30,267.0,267.0,266.9,266.95,18492,0,0
2020-12-18 13:53:00+05:30,266.95,267.0,266.8,267.0,22737,0,0
2020-12-18 13:54:00+05:30,267.0,267.25,266.8,267.2,94072,0,0
2020-12-18 13:55:00+05:30,267.25,267.4,267.2,267.3,52102,0,0
2020-12-18 13:56:00+05:30,267.25,267.4,267.2,267.35,56144,0,0
2020-12-18 13:57:00+05:30,267.35,267.35,267.1,267.15,33535,0,0
2020-12-18 13:58:00+05:30,267.25,267.25,267.1,267.1,38598,0,0
2020-12-18 13:59:00+05:30,267.2,267.2,267.1,267.2,18464,0,0
2020-12-18 14:00:00+05:30,267.2,267.3,267.15,267.25,26842,0,0
2020-12-18 14:01:00+05:30,267.3,267.3,267.2,267.25,14773,0,0
2020-12-18 14:02:00+05:30,267.3,267.3,267.2,267.3,16235,0,0
2020-12-18 14:03:00+05:30,267.3,267.3,267.1,267.25,36677,0,0
2020-12-18 14:04:00+05:30,267.25,267.35,267.15,267.3,45340,0,0
2020-12-18 14:05:00+05:30,267.3,267.3,267.0,267.1,36404,0,0
2020-12-18 14:06:00+05:30,267.15,267.4,267.05,267.3,76051,0,0
2020-12-18 14:07:00+05:30,267.4,267.4,267.2,267.35,22711,0,0
2020-12-18 14:08:00+05:30,267.35,267.95,267.3,267.85,224483,0,0
2020-12-18 14:09:00+05:30,267.9,267.95,267.7,267.8,83289,0,0
2020-12-18 14:10:00+05:30,267.8,268.5,267.75,268.3,459659,0,0
2020-12-18 14:11:00+05:30,268.2,268.3,268.05,268.1,88332,0,0
2020-12-18 14:12:00+05:30,268.05,268.2,268.0,268.15,61109,0,0
2020-12-18 14:13:00+05:30,268.15,268.4,268.05,268.25,84310,0,0
2020-12-18 14:14:00+05:30,268.35,268.45,268.25,268.4,74120,0,0
2020-12-18 14:15:00+05:30,268.45,268.75,268.4,268.6,218897,0,0
2020-12-18 14:16:00+05:30,268.65,269.2,268.6,268.8,326143,0,0
2020-12-18 14:17:00+05:30,268.95,269.25,268.85,269.0,220816,0,0
2020-12-18 14:18:00+05:30,269.0,269.65,269.0,269.65,239215,0,0
2020-12-18 14:19:00+05:30,269.65,270.2,269.65,269.9,652720,0,0
2020-12-18 14:20:00+05:30,269.95,270.2,269.8,269.8,169734,0,0
2020-12-18 14:21:00+05:30,269.9,269.9,269.45,269.55,162265,0,0
2020-12-18 14:22:00+05:30,269.6,269.7,269.5,269.7,137509,0,0
2020-12-18 14:23:00+05:30,269.7,269.95,269.6,269.95,124443,0,0
2020-12-18 14:24:00+05:30,269.95,270.1,269.75,269.95,202703,0,0
2020-12-18 14:25:00+05:30,270.1,270.1,269.8,269.9,98601,0,0
2020-12-18 14:26:00+05:30,269.9,270.0,269.8,269.8,56138,0,0
2020-12-18 14:27:00+05:30,269.85,269.9,269.6,269.75,82756,0,0
2020-12-18 14:28:00+05:30,269.8,269.8,269.6,269.7,35393,0,0
2020-12-18 14:29:00+05:30,269.75,269.75,269.6,269.65,46869,0,0
2020-12-18 14:30:00+05:30,269.6,269.7,269.25,269.3,78006,0,0
2020-12-18 14:31:00+05:30,269.45,269.55,269.0,269.1,168409,0,0
2020-12-18 14:32:00+05:30,269.15,269.3,269.1,269.1,75217,0,0
2020-12-18 14:33:00+05:30,269.15,269.3,269.1,269.3,55414,0,0
2020-12-18 14:34:00+05:30,269.2,269.7,269.2,269.65,80606,0,0
2020-12-18 14:35:00+05:30,269.7,270.0,269.6,269.9,140931,0,0
2020-12-18 14:36:00+05:30,270.0,270.4,269.85,270.25,295809,0,0
2020-12-18 14:37:00+05:30,270.15,270.3,270.15,270.3,99160,0,0
2020-12-18 14:38:00+05:30,270.3,270.3,269.95,269.95,94231,0,0
2020-12-18 14:39:00+05:30,270.0,270.4,269.9,270.4,202661,0,0
2020-12-18 14:40:00+05:30,270.4,270.45,270.25,270.4,63915,0,0
2020-12-18 14:41:00+05:30,270.3,270.35,270.1,270.15,64890,0,0
2020-12-18 14:42:00+05:30,270.15,270.2,270.0,270.0,73838,0,0
2020-12-18 14:43:00+05:30,270.05,270.75,269.95,270.75,249153,0,0
2020-12-18 14:44:00+05:30,270.75,270.8,270.5,270.65,70888,0,0
2020-12-18 14:45:00+05:30,270.6,270.85,270.55,270.85,138577,0,0
2020-12-18 14:46:00+05:30,270.85,271.0,270.85,270.95,321321,0,0
2020-12-18 14:47:00+05:30,270.9,271.2,270.9,271.2,157273,0,0
2020-12-18 14:48:00+05:30,271.2,271.25,270.75,270.9,151188,0,0
2020-12-18 14:49:00+05:30,270.95,271.0,270.7,270.7,111724,0,0
2020-12-18 14:50:00+05:30,270.8,271.0,270.75,270.9,73741,0,0
2020-12-18 14:51:00+05:30,271.0,271.0,270.8,270.9,66838,0,0
2020-12-18 14:52:00+05:30,270.95,271.2,270.8,271.2,94831,0,0
2020-12-18 14:53:00+05:30,271.2,271.2,271.1,271.15,38998,0,0
2020-12-18 14:54:00+05:30,271.15,271.2,270.45,270.55,184193,0,0
2020-12-18 14:55:00+05:30,270.55,270.55,270.4,270.5,112118,0,0
2020-12-18 14:56:00+05:30,270.55,270.6,270.5,270.6,42074,0,0
2020-12-18 14:57:00+05:30,270.7,270.9,270.6,270.9,53394,0,0
2020-12-18 14:58:00+05:30,270.8,270.9,270.45,270.45,94355,0,0
2020-12-18 14:59:00+05:30,270.45,270.65,270.4,270.65,107602,0,0
2020-12-18 15:00:00+05:30,270.6,271.0,270.6,270.9,183610,0,0
2020-12-18 15:01:00+05:30,270.9,271.0,270.85,270.9,74687,0,0
2020-12-18 15:02:00+05:30,270.95,271.3,270.95,271.3,222341,0,0
2020-12-18 15:03:00+05:30,271.3,271.4,271.2,271.4,180281,0,0
2020-12-18 15:04:00+05:30,271.45,271.45,271.15,271.35,195358,0,0
2020-12-18 15:05:00+05:30,271.35,271.8,271.3,271.6,373102,0,0
2020-12-18 15:06:00+05:30,271.55,271.7,271.45,271.5,186519,0,0
2020-12-18 15:07:00+05:30,271.55,271.6,271.3,271.3,156144,0,0
2020-12-18 15:08:00+05:30,271.3,271.5,271.3,271.4,128039,0,0
2020-12-18 15:09:00+05:30,271.4,271.5,271.3,271.35,181370,0,0
2020-12-18 15:10:00+05:30,271.35,271.35,271.05,271.1,252379,0,0
2020-12-18 15:11:00+05:30,271.2,271.35,271.05,271.3,208035,0,0
2020-12-18 15:12:00+05:30,271.45,271.6,271.35,271.35,225991,0,0
2020-12-18 15:13:00+05:30,271.4,271.6,271.35,271.5,213689,0,0
2020-12-18 15:14:00+05:30,271.5,271.6,271.4,271.5,142450,0,0
2020-12-18 15:15:00+05:30,271.5,271.55,271.4,271.5,187256,0,0
2020-12-18 15:16:00+05:30,271.5,271.8,271.4,271.55,255361,0,0
2020-12-18 15:17:00+05:30,271.55,271.8,271.45,271.65,263485,0,0
2020-12-18 15:18:00+05:30,271.6,271.7,271.55,271.6,156287,0,0
2020-12-18 15:19:00+05:30,271.6,271.7,271.6,271.65,130714,0,0
2020-12-18 15:20:00+05:30,271.6,271.7,271.5,271.5,418631,0,0
2020-12-18 15:21:00+05:30,271.5,271.95,271.05,271.2,331192,0,0
2020-12-18 15:22:00+05:30,271.25,271.55,271.25,271.45,91954,0,0
2020-12-18 15:23:00+05:30,271.35,271.7,271.35,271.65,103237,0,0
2020-12-18 15:24:00+05:30,271.6,271.65,271.5,271.5,130690,0,0
2020-12-18 15:25:00+05:30,271.55,271.75,271.45,271.7,183702,0,0
2020-12-18 15:26:00+05:30,271.65,271.7,271.45,271.6,147883,0,0
2020-12-18 15:27:00+05:30,271.5,271.65,271.3,271.5,101844,0,0
2020-12-18 15:28:00+05:30,271.6,271.6,271.35,271.4,66817,0,0
2020-12-18 15:29:00+05:30,271.5,271.6,271.25,271.5,82280,0,0
2020-12-21 09:15:00+05:30,268.75,268.75,267.1,267.25,0,0,0
2020-12-21 09:16:00+05:30,267.15,267.75,267.05,267.7,303331,0,0
2020-12-21 09:17:00+05:30,267.5,267.7,267.35,267.5,179840,0,0
2020-12-21 09:18:00+05:30,267.6,267.75,267.45,267.75,198656,0,0
2020-12-21 09:19:00+05:30,267.55,267.75,267.35,267.6,167560,0,0
2020-12-21 09:20:00+05:30,267.65,267.7,266.8,267.0,299045,0,0
2020-12-21 09:21:00+05:30,266.9,267.1,266.8,266.85,198235,0,0
2020-12-21 09:22:00+05:30,266.8,266.95,266.5,266.95,254279,0,0
2020-12-21 09:23:00+05:30,266.95,267.5,266.9,267.4,165952,0,0
2020-12-21 09:24:00+05:30,267.4,267.4,266.75,267.15,134162,0,0
2020-12-21 09:25:00+05:30,267.2,267.2,266.6,266.85,150268,0,0
2020-12-21 09:26:00+05:30,266.65,267.0,266.55,266.9,90735,0,0
2020-12-21 09:27:00+05:30,267.0,267.0,266.4,266.6,228343,0,0
2020-12-21 09:28:00+05:30,266.6,266.75,266.5,266.7,78404,0,0
2020-12-21 09:29:00+05:30,266.65,266.8,266.5,266.6,133919,0,0
2020-12-21 09:30:00+05:30,266.5,266.5,266.0,266.2,251741,0,0
2020-12-21 09:31:00+05:30,266.15,266.3,266.1,266.1,152719,0,0
2020-12-21 09:32:00+05:30,266.1,266.5,266.05,266.45,146728,0,0
2020-12-21 09:33:00+05:30,266.4,266.55,266.3,266.5,232995,0,0
2020-12-21 09:34:00+05:30,266.4,266.8,266.3,266.8,124174,0,0
2020-12-21 09:35:00+05:30,266.8,267.4,266.75,267.2,235273,0,0
2020-12-21 09:36:00+05:30,267.25,267.35,266.8,267.0,160780,0,0
