Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,,
2020-08-14 09:43:00+05:30,201.3,201.35,201.25,201.35,127997,0,0,,
2020-08-14 09:44:00+05:30,201.25,201.35,200.6,200.65,523750,0,0,,
2020-08-14 09:45:00+05:30,200.6,201,200.5,200.95,336058,0,0,,
2020-08-14 09:46:00+05:30,200.95,201.1,200.75,201.05,251970,0,0,,
2020-08-14 09:47:00+05:30,201.1,201.5,201.1,201.5,166456,0,0,,
2020-08-14 09:48:00+05:30,201.5,201.5,201.25,201.25,159288,0,0,,
2020-08-14 09:49:00+05:30,201.3,201.3,201,201.1,116608,0,0,,
2020-08-14 09:50:00+05:30,201.1,201.15,200.9,201.1,192679,0,0,,
2020-08-14 09:51:00+05:30,201.1,201.3,201.05,201.2,97080,0,0,,
2020-08-14 09:52:00+05:30,201.2,201.3,201.05,201.2,119439,0,0,,
2020-08-14 09:53:00+05:30,201.25,201.4,201.2,201.35,96063,0,0,,
2020-08-14 09:54:00+05:30,201.35,201.45,201.3,201.4,62726,0,0,,
2020-08-14 09:55:00+05:30,201.4,201.7,201.3,201.7,133723,0,0,,
2020-08-14 09:56:00+05:30,201.6,202.05,201.6,202.05,319299,0,0,,
2020-08-14 09:57:00+05:30,201.95,202.3,201.95,202.25,196115,0,0,,
2020-08-14 09:58:00+05:30,202.2,202.4,202.1,202.1,180546,0,0,,
2020-08-14 09:59:00+05:30,202.1,202.2,201.8,201.9,112498,0,0,,
2020-08-14 10:00:00+05:30,201.85,201.85,201.6,201.65,111692,0,0,,
2020-08-14 10:01:00+05:30,201.7,201.7,201.5,201.5,88834,0,0,,
2020-08-14 10:02:00+05:30,201.55,201.65,201.55,201.6,73339,0,0,,
2020-08-14 10:03:00+05:30,201.6,201.65,201.5,201.5,81596,0,0,,
2020-08-14 10:04:00+05:30,201.6,201.6,201.5,201.5,31564,0,0,,
2020-08-14 10:05:00+05:30,201.6,201.6,201.35,201.55,185938,0,0,,
2020-08-14 10:06:00+05:30,201.55,201.55,201.4,201.4,61971,0,0,,
2020-08-14 10:07:00+05:30,201.4,201.45,201.2,201.25,64799,0,0,,
2020-08-14 10:08:00+05:30,201.25,201.45,201.2,201.35,55052,0,0,,
2020-08-14 10:09:00+05:30,201.35,201.45,201.3,201.45,43726,0,0,,
2020-08-14 10:10:00+05:30,201.45,201.45,201.05,201.15,193846,0,0,,
2020-08-14 10:11:00+05:30,201.1,201.25,201.05,201.25,55735,0,0,,
2020-08-14 10:12:00+05:30,201.2,201.3,201.15,201.25,74972,0,0,,
2020-08-14 10:13:00+05:30,201.15,201.35,201.15,201.3,41166,0,0,,
2020-08-14 10:14:00+05:30,201.2,201.4,201.2,201.4,44761,0,0,,
2020-08-14 10:15:00+05:30,201.3,201.45,201.3,201.45,24438,0,0,,
2020-08-14 10:16:00+05:30,201.4,201.5,201.3,201.4,106458,0,0,,
2020-08-14 10:17:00+05:30,201.45,201.5,201.15,201.15,66403,0,0,,
2020-08-14 10:18:00+05:30,201.25,201.25,201.15,201.2,41743,0,0,,
2020-08-14 10:19:00+05:30,201.15,201.3,201.15,201.2,55462,0,0,,
2020-08-14 10:20:00+05:30,201.2,201.2,201,201,170888,0,0,,
2020-08-14 10:21:00+05:30,201,201.1,201,201.05,73746,0,0,,
2020-08-14 10:22:00+05:30,201,201.3,201,201.3,68544,0,0,,
2020-08-14 10:23:00+05:30,201.2,201.35,201.15,201.25,36965,0,0,,
2020-08-14 10:24:00+05:30,201.35,201.4,201.25,201.4,58659,0,0,,
2020-08-14 10:25:00+05:30,201.35,201.35,201.2,201.2,40183,0,0,,
2020-08-14 10:26:00+05:30,201.3,201.3,201.05,201.1,44975,0,0,,
